place,detector,method,status,cosine,flux_ratio,dose_ratio_ISO,dose_ratio_ROT,dose_ratio_AP,dose_ref_ISO,dose_unfolded_ISO
t4-10-s.txt_1,GSF,landweber,OK,0.8676561873209828,1.035790009610121,1.1226314091258214,1.1085077683241056,1.079308056350479,156.23522009456113,175.39456528984002
t4-10-s.txt_1,GSF,mlem,OK,0.2551392729317151,0.4490838593861626,0.5399300312442351,0.5454792783010046,0.5665540255179113,156.23522009456113,84.35608726710635
t4-10-s.txt_1,GSF,kaczmarz,OK,0.8827367751496492,0.989455346719626,1.0467567567882434,1.0431425680276145,1.0375672047258047,156.23522009456113,163.5402722822802
t4-10-s.txt_1,GSF,cvxpy,OK,0.9827741423191516,0.9876400863103916,0.9998626575865278,0.999853305056844,0.9990441796435606,156.23522009456113,156.213762372364
t4-10-s.txt_1,GSF,qpsolvers,OK,0.872524817862315,1.03284143746738,1.1035354798145465,1.0910317464617687,1.064461282792071,156.23522009456113,172.41110857098278
t4-10-s.txt_1,GSF,statreg,OK,0.85280678065354,1.0947178768057857,1.1399786783354795,1.1292277011445102,1.1021573009204235,156.23522009456113,178.10481971285054
t4-10-s.txt_1,GSF,tsvd,OK,0.8714501255500323,1.0207399679341833,1.071177779732042,1.0636680076502825,1.0488286679309833,156.23522009456113,167.35569617683893
t4-10-s.txt_1,GSF,bayes,OK,0.5646747796485472,1.5873823871851296,2.034026603289611,1.8631833691790658,1.5676378837949383,156.23522009456113,317.78659404314493
t4-10-s.txt_1,PTB,landweber,OK,0.8539114020204318,1.0355819583107166,1.0811947725249367,1.072187039136882,1.0513635786213837,156.23522009456113,168.92070325052245
t4-10-s.txt_1,PTB,mlem,OK,0.26618190775345507,7.5092369674177855,6.992886701316397,7.147075596848763,7.841402417844248,156.23522009456113,1092.535192876497
t4-10-s.txt_1,PTB,kaczmarz,OK,0.8628260291350999,1.0285538156618101,1.0545301784461942,1.0497333873422554,1.042247799345259,156.23522009456113,164.754754525898
t4-10-s.txt_1,PTB,cvxpy,OK,0.9423443997686117,1.00251435621005,1.0064876541527716,1.0054607318561315,1.0030099064506375,156.23522009456113,157.2488201690168
t4-10-s.txt_1,PTB,qpsolvers,OK,0.872098228089783,1.015744173581706,1.0496990505576373,1.044295279208552,1.0336567180231995,156.23522009456113,163.99996219692432
t4-10-s.txt_1,PTB,statreg,OK,0.8816129737896621,1.0510791962237738,1.0248003681251492,1.0223864508714817,1.017580536654653,156.23522009456113,160.10991106701997
t4-10-s.txt_1,PTB,tsvd,OK,0.8471284382153196,1.0565817451120219,1.088441444086922,1.0784942325031701,1.0549036654420094,156.23522009456113,170.0528885769622
t4-10-s.txt_1,PTB,bayes,OK,0.5233497556953919,2.0404399521705194,3.670944208210517,3.20910567981071,2.4092583370402836,156.23522009456113,573.5307763246245
t4-10-s.txt_1,LANL,landweber,OK,0.9092543576603117,0.9898475118525363,1.0221445321449456,1.0205711541633975,1.0187852127540056,156.23522009456113,159.6949759481178
t4-10-s.txt_1,LANL,mlem,OK,0.6098287094376387,7.41898354942377,8.782361012470762,8.813040306563463,8.9301181439084,156.23522009456113,1372.1141057332622
t4-10-s.txt_1,LANL,kaczmarz,OK,0.9174766205842372,0.9912671735031048,1.0146414510192652,1.0136941039421186,1.0132140767683566,156.23522009456113,158.52273041705976
t4-10-s.txt_1,LANL,cvxpy,OK,0.9754703623771985,0.9414670693996632,0.9987242174376116,0.9982321757381785,0.9977039114618408,156.23522009456113,156.03589792513358
t4-10-s.txt_1,LANL,qpsolvers,OK,0.9237021402563126,0.9970729588398108,1.0068194929315522,1.0063004063180496,1.0056895614304326,156.23522009456113,157.3006650736555
t4-10-s.txt_1,LANL,statreg,OK,0.8542811955246572,1.1869143987169923,1.1682216106291823,1.1540815572309804,1.1241094979182222,156.23522009456113,182.517360455873
t4-10-s.txt_1,LANL,tsvd,OK,0.8950731603793287,1.0089175270897377,1.11878639316292,1.1077133714842224,1.0854351204365513,156.23522009456113,174.793838374609
t4-10-s.txt_1,LANL,bayes,OK,0.8450165004890041,1.1169175741031379,1.0446894870422436,1.0371774358821526,1.025142533340538,156.23522009456113,163.21729193851908
